Country/Region,Confirmed,Deaths,Recovered,Active,Mortality Rate,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,LAT,LONG
Afghanistan,36263,1269,25198,9796,3.499434685,3.5,69.49,5.04,33.93911,67.709953
Albania,4880,144,2745,1991,2.950819672,2.95,56.25,5.25,41.1533,20.1683
Algeria,27973,1163,18837,7973,4.157580524,4.16,67.34,6.17,28.0339,1.6596
Andorra,907,52,803,52,5.733186329,5.73,88.53,6.48,42.5063,1.5218
Angola,950,41,242,667,4.315789474,4.32,25.47,16.94,-11.2027,17.8739
Antigua and Barbuda,86,3,65,18,3.488372093,3.49,75.58,4.62,17.0608,-61.7964
Argentina,167416,3059,72575,91782,1.827184976,1.83,43.35,4.21,-38.4161,-63.6167
Armenia,37390,711,26665,10014,1.901577962,1.9,71.32,2.67,40.0691,45.0382
Australia,15303,167,9311,5825,1.09128929,1.09,60.84,1.79,-35.4735,149.0124
Austria,20558,713,18246,1599,3.46823621,3.47,88.75,3.91,47.5162,14.5501
Azerbaijan,30446,423,23242,6781,1.38934507,1.39,76.34,1.82,40.1431,47.5769
Bahamas,382,11,91,280,2.879581152,2.88,23.82,12.09,25.025885,-78.035889
Bahrain,39482,141,36110,3231,0.357124766,0.36,91.46,0.39,26.0275,50.55
Bangladesh,226225,2965,125683,97577,1.31064206,1.31,55.56,2.36,23.685,90.3563
Barbados,110,7,94,9,6.363636364,6.36,85.45,7.45,13.1939,-59.5432
Belarus,67251,538,60492,6221,0.799988104,0.8,89.95,0.89,53.7098,27.9534
Belgium,66428,9822,17452,39154,14.78593364,14.79,26.27,56.28,50.8333,4.469936
Belize,48,2,26,20,4.166666667,4.17,54.17,7.69,17.1899,-88.4976
Benin,1770,35,1036,699,1.97740113,1.98,58.53,3.38,9.3077,2.3158
Bhutan,99,0,86,13,0,0,86.87,0,27.5142,90.4336
Bolivia,71181,2647,21478,47056,3.718688976,3.72,30.17,12.32,-16.2902,-63.5887
Bosnia and Herzegovina,10498,294,4930,5274,2.800533435,2.8,46.96,5.96,43.9159,17.6791
Botswana,739,2,63,674,0.270635995,0.27,8.53,3.17,-22.3285,24.6849
Brazil,2442375,87618,1846641,508116,3.587409796,3.59,75.61,4.74,-14.235,-51.9253
Brunei,141,3,138,0,2.127659574,2.13,97.87,2.17,4.5353,114.7277
Bulgaria,10621,347,5585,4689,3.267112325,3.27,52.58,6.21,42.7339,25.4858
Burkina Faso,1100,53,926,121,4.818181818,4.82,84.18,5.72,12.2383,-1.5616
Burma,350,6,292,52,1.714285714,1.71,83.43,2.05,21.9162,95.956
Burundi,378,1,301,76,0.264550265,0.26,79.63,0.33,-3.3731,29.9189
Cabo Verde,2328,22,1550,756,0.945017182,0.95,66.58,1.42,16.5388,-23.0418
Cambodia,226,0,147,79,0,0,65.04,0,11.55,104.9167
Cameroon,17110,391,14539,2180,2.285213326,2.29,84.97,2.69,3.848,11.5021
Canada,116458,8944,0,107514,7.680021982,7.68,0,inf,53.9333,-116.5765
Central African Republic,4599,59,1546,2994,1.282887584,1.28,33.62,3.82,6.6111,20.9394
Chad,922,75,810,37,8.134490239,8.13,87.85,9.26,15.4542,18.7322
Chile,347923,9187,319954,18782,2.640526783,2.64,91.96,2.87,-35.6751,-71.543
China,86783,4656,78869,3258,5.365106069,5.37,90.88,5.9,31.8257,117.2264
Colombia,257101,8777,131161,117163,3.413833474,3.41,51.02,6.69,4.5709,-74.2973
Comoros,354,7,328,19,1.97740113,1.98,92.66,2.13,-11.6455,43.3333
Congo (Brazzaville),3200,54,829,2317,1.6875,1.69,25.91,6.51,-0.228,15.8277
Congo (Kinshasa),8844,208,5700,2936,2.351876979,2.35,64.45,3.65,-4.0383,21.7587
Costa Rica,15841,115,3824,11902,0.72596427,0.73,24.14,3.01,9.7489,-83.7534
Cote d'Ivoire,15655,96,10361,5198,0.613222613,0.61,66.18,0.93,7.54,-5.5471
Croatia,4881,139,3936,806,2.847777095,2.85,80.64,3.53,45.1,15.2
Cuba,2532,87,2351,94,3.436018957,3.44,92.85,3.7,21.521757,-77.781167
Cyprus,1060,19,852,189,1.79245283,1.79,80.38,2.23,35.1264,33.4299
Czechia,15516,373,11428,3715,2.403970095,2.4,73.65,3.26,49.8175,15.473
Denmark,13761,613,12605,543,4.454618124,4.45,91.6,4.86,61.8926,-6.9118
Djibouti,5059,58,4977,24,1.146471635,1.15,98.38,1.17,11.8251,42.5903
Dominica,18,0,18,0,0,0,100,0,15.415,-61.371
Dominican Republic,64156,1083,30204,32869,1.688072822,1.69,47.08,3.59,18.7357,-70.1627
Ecuador,81161,5532,34896,40733,6.816081616,6.82,43,15.85,-1.8312,-78.1834
Egypt,92482,4652,34838,52992,5.030168033,5.03,37.67,13.35,26.820553,30.802498
El Salvador,15035,408,7778,6849,2.713668108,2.71,51.73,5.25,13.7942,-88.8965
Equatorial Guinea,3071,51,842,2178,1.660696841,1.66,27.42,6.06,1.6508,10.2679
Eritrea,265,0,191,74,0,0,72.08,0,15.1794,39.7823
Estonia,2034,69,1923,42,3.392330383,3.39,94.54,3.59,58.5953,25.0136
